Tag,studentname,personalitytype,conformity,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Instance,Experiment
Agent07,Benjamin,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent08,Marta,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent09,Doris,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent10,Maria,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent11,Julia,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent12,Julian,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent13,Michael,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent14,Antonio,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent15,Herbert,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-003-5014,ADHD-Low-Ambitious
Agent16,Barbara,Ambitious,0.8756,0.8,0.8,0.09,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent17,Benjamin,Ambitious,0.746,0.8,0.8,0.45,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent18,Antonio,Ambitious,0.89,0.8,0.8,0.05,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent19,Raquel,Ambitious,0.6668,0.8,0.8,0.67,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent20,Julia,Ambitious,0.7352,0.8,0.8,0.48,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent21,Alba,Ambitious,0.89,0.8,0.8,0.05,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent22,Pedro,Ambitious,0.818,0.8,0.8,0.25,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent23,Antonio,Ambitious,0.8612,0.8,0.8,0.13,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent24,Barbara,Ambitious,0.6488,0.8,0.8,0.72,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent25,Sonya,Ambitious,0.7784,0.8,0.8,0.36,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent26,Kathrin,Ambitious,0.8828,0.8,0.8,0.07,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent27,Anton,Ambitious,0.6308,0.8,0.8,0.77,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent28,Sonya,Ambitious,0.7352,0.8,0.8,0.48,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent29,Sonya,Ambitious,0.5804,0.8,0.8,0.91,0.8,0.2,Instance-003-5014,ADHD-Low-Ambitious
Agent00,Julian,ADHD,-0.1735,0.94,0.2,0.65,0.2,0.8,Instance-004-3546,ADHD-Low-Ambitious
Agent01,Antonio,ADHD,-0.23965,0.85,0.2,0.89,0.2,0.8,Instance-004-3546,ADHD-Low-Ambitious
Agent02,Antonio,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent03,Juanma,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent04,Raquel,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent05,Sonya,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent06,Pedro,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent07,Kathrin,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent08,Alba,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent09,Felix,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent10,Marta,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent11,Silke,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent12,Pedro,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent13,Maria,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent14,Marta,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent15,Julian,Normal,0.43325,0.75,0.6,0.55,0.65,0.5,Instance-004-3546,ADHD-Low-Ambitious
Agent16,Estella,Ambitious,0.5804,0.8,0.8,0.91,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent17,Julian,Ambitious,0.8468,0.8,0.8,0.17,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent18,Estella,Ambitious,0.6128,0.8,0.8,0.82,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent19,Herbert,Ambitious,0.7172,0.8,0.8,0.53,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent20,Marta,Ambitious,0.8468,0.8,0.8,0.17,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent21,Alba,Ambitious,0.8072,0.8,0.8,0.28,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent22,Julia,Ambitious,0.8468,0.8,0.8,0.17,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent23,Julian,Ambitious,0.6272,0.8,0.8,0.78,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent24,Alba,Ambitious,0.638,0.8,0.8,0.75,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent25,Marta,Ambitious,0.8432,0.8,0.8,0.18,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent26,Maria,Ambitious,0.6812,0.8,0.8,0.63,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent27,Juanma,Ambitious,0.6128,0.8,0.8,0.82,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent28,Marta,Ambitious,0.7352,0.8,0.8,0.48,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
Agent29,Barbara,Ambitious,0.8612,0.8,0.8,0.13,0.8,0.2,Instance-004-3546,ADHD-Low-Ambitious
